player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
16246,Pat,O'Connor,DT,95,61,DET,ROSTER,leg,QUESTIONABLE,2025-09-15T12:40:02.401Z
32139,Amen,Ogbongbemiga,LB,45,,,UFA,shoulder,OUT,2025-09-15T12:40:02.401Z
48023,Otito,Ogbonnia,DT,93,75,LAC,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
12876,Larry,Ogunjobi,DT,99,,,UFA,suspension,OUT,2025-09-15T12:40:02.401Z
79779,BJ,Ojulari,OLB,9,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
15399,Chukwuma,Okorafor,OT,79,51,NYJ,ROSTER,hand,QUESTIONABLE,2025-09-15T12:40:02.401Z
18601,Jeff,Okudah,CB,8,63,MIN,ROSTER,head,QUESTIONABLE,2025-09-15T12:40:02.401Z
167880,Jordan,Oladokun,CB,37,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
16727,Josh,Oliver,TE,84,63,MIN,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
16051,Ed,Oliver,DT,91,48,BUF,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
166821,Collin,Oliver,DE,45,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
14975,Foye,Oluokun,LB,23,66,JAX,ROSTER,illness,QUESTIONABLE,2025-09-15T12:40:02.401Z
108840,Olusegun,Oluwatimi,C,55,79,SEA,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
18943,Mike,Onwenu,G,71,50,NE,ROSTER,hand,QUESTIONABLE,2025-09-15T12:40:02.401Z
32640,Levi,Onwuzurike,DT,91,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
79828,DeMarvion,Overshown,LB,0,52,DAL,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
134451,Tyler,Owens,FS,18,55,WAS,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
30603,Jeremiah,Owusu-Koramoah,OLB,6,,,UFA,neck,OUT,2025-09-15T12:40:02.401Z
16996,Donald,Parham Jr.,TE,89,,,UFA,achilles,OUT,2025-09-15T12:40:02.401Z
