home_team,away_team,date,elo_home,elo_away,elo_diff
SAN FRANCISCO 49ERS,CHICAGO BEARS,2024-12-08,1555.049073586987,1398.5444307131488,211.5046428738383
KANSAS CITY CHIEFS,LOS ANGELES CHARGERS,2024-12-08,1663.58838264603,1513.9757068169815,204.61267582904838
SAN FRANCISCO 49ERS,LOS ANGELES RAMS,2024-12-12,1528.3787851136822,1452.6299581826747,130.74882693100744
CAROLINA PANTHERS,DALLAS COWBOYS,2024-12-15,1326.8177938729707,1599.0213920204242,-217.20359814745348
HOUSTON TEXANS,MIAMI DOLPHINS,2024-12-15,1511.073601735955,1470.410069658804,95.66353207715088
ARIZONA CARDINALS,NEW ENGLAND PATRIOTS,2024-12-15,1451.876192728493,1371.3663759471633,135.50981678132962
DENVER BRONCOS,INDIANAPOLIS COLTS,2024-12-15,1555.410940184133,1473.9600842831487,136.45085590098438
DETROIT LIONS,BUFFALO BILLS,2024-12-15,1592.0065026453744,1696.6532956417132,-49.64679299633872
LOS ANGELES CHARGERS,TAMPA BAY BUCCANEERS,2024-12-15,1477.556872408344,1542.6609909982956,-10.104118589951668
PHILADELPHIA EAGLES,PITTSBURGH STEELERS,2024-12-15,1695.160346640436,1566.265285622108,183.89506101832808
MINNESOTA VIKINGS,CHICAGO BEARS,2024-12-16,1531.9265952054466,1383.8648219557754,203.0617732496712
LOS ANGELES CHARGERS,DENVER BRONCOS,2024-12-19,1499.489321424526,1533.4784911679512,21.010830256574764
KANSAS CITY CHIEFS,HOUSTON TEXANS,2024-12-21,1672.9226485955512,1501.7393357864337,226.18331280911752
BALTIMORE RAVENS,PITTSBURGH STEELERS,2024-12-21,1650.9420067735384,1548.0801366441992,157.8618701293392
ATLANTA FALCONS,NEW YORK GIANTS,2024-12-22,1426.2081419699766,1392.0515038174092,89.15663815256744
BUFFALO BILLS,NEW ENGLAND PATRIOTS,2024-12-22,1699.0345814906073,1368.9850900982692,385.04949139233804
CINCINNATI BENGALS,CLEVELAND BROWNS,2024-12-22,1492.415040838535,1390.3558444388032,157.05919639973195
INDIANAPOLIS COLTS,TENNESSEE TITANS,2024-12-22,1485.3869762298002,1353.0114973433765,187.3754788864237
LAS VEGAS RAIDERS,JACKSONVILLE JAGUARS,2024-12-22,1410.2724953058464,1437.219195459864,28.053299845982338
GREEN BAY PACKERS,NEW ORLEANS SAINTS,2024-12-23,1621.6914443873677,1520.8867736721563,155.8046707152114
CINCINNATI BENGALS,DENVER BRONCOS,2024-12-28,1510.9764227140015,1514.9171092924848,51.05931342151666
LOS ANGELES RAMS,ARIZONA CARDINALS,2024-12-28,1465.8290793095694,1438.6770716015983,82.15200770797105
BUFFALO BILLS,NEW YORK JETS,2024-12-29,1706.3008397984509,1411.9040195730715,349.3968202253793
JACKSONVILLE JAGUARS,TENNESSEE TITANS,2024-12-29,1449.3342467345324,1340.896446068708,163.4378006658244
PHILADELPHIA EAGLES,DALLAS COWBOYS,2024-12-29,1714.805021857644,1579.3767168032164,190.4283050544277
TAMPA BAY BUCCANEERS,CAROLINA PANTHERS,2024-12-29,1553.6631882066097,1315.8155966646566,292.8475915419531
MINNESOTA VIKINGS,GREEN BAY PACKERS,2024-12-29,1543.8204011105229,1609.7976384822912,-10.977237371768297
WASHINGTON COMMANDERS,ATLANTA FALCONS,2024-12-29,1512.888374963028,1414.399096870142,153.4892780928858
BALTIMORE RAVENS,CLEVELAND BROWNS,2025-01-04,1658.9108213731356,1382.387029839206,331.5237915339296
ATLANTA FALCONS,CAROLINA PANTHERS,2025-01-05,1388.6550374464923,1341.5596560883062,102.09538135818616
GREEN BAY PACKERS,CHICAGO BEARS,2025-01-05,1593.53992691188,1400.1225335261863,248.41739338569369
INDIANAPOLIS COLTS,JACKSONVILLE JAGUARS,2025-01-05,1495.288017723593,1439.4332052407397,110.85481248285328
PHILADELPHIA EAGLES,NEW YORK GIANTS,2025-01-05,1718.427624627448,1388.428901047605,384.99872357984304
TAMPA BAY BUCCANEERS,NEW ORLEANS SAINTS,2025-01-05,1569.5650534892798,1504.9849083894862,119.58014509979353
TENNESSEE TITANS,HOUSTON TEXANS,2025-01-05,1325.4205164942653,1517.2152653608764,-136.79474886661114
ARIZONA CARDINALS,SAN FRANCISCO 49ERS,2025-01-05,1473.0786886465887,1493.9771680686918,34.10152057789696
DENVER BRONCOS,KANSAS CITY CHIEFS,2025-01-05,1559.9961664331695,1627.8435914548663,-12.847425021696836
NEW YORK JETS,MIAMI DOLPHINS,2025-01-05,1437.7711157959511,1444.542973435924,48.22814236002705
DETROIT LIONS,MINNESOTA VIKINGS,2025-01-05,1613.3143045090303,1522.512599246867,145.8017052621633
BALTIMORE RAVENS (3),PITTSBURGH STEELERS (6),2025-01-11,1522.2722332600597,1477.7277667399403,99.54446652011939
BUFFALO BILLS (2),DENVER BRONCOS (7),2025-01-12,1523.528597880526,1473.1986670555782,105.32993082494772
PHILADELPHIA EAGLES (2),GREEN BAY PACKERS (7),2025-01-12,1522.2953711133844,1492.5995122047332,84.69585890865119
TAMPA BAY BUCCANEERS (3),WASHINGTON COMMANDERS (6),2025-01-12,1484.3518675960647,1515.6481324039353,23.703735192129443
LOS ANGELES RAMS (4),MINNESOTA VIKINGS (5),2025-01-13,1571.0438720973286,1480.2469815242728,145.79689057305586
KANSAS CITY CHIEFS (1),HOUSTON TEXANS (4),2025-01-18,1556.0915504416366,1456.7541104354086,154.337440006228
DETROIT LIONS (1),WASHINGTON COMMANDERS (6),2025-01-18,1470.394860656172,1545.2532717477634,-19.85841109159128
PHILADELPHIA EAGLES (2),LOS ANGELES RAMS (4),2025-01-19,1541.3502315920084,1551.9890116187046,44.36121997330383
PHILADELPHIA EAGLES (2),WASHINGTON COMMANDERS (6),2025-01-26,1570.5320165492103,1516.0714867905615,109.46052975864882
KANSAS CITY CHIEFS (1),BUFFALO BILLS (2),2025-01-26,1566.1331376830524,1513.4870106391102,107.64612704394222
PHILADELPHIA EAGLES (2),KANSAS CITY CHIEFS (1),2025-02-09,1594.347944248337,1542.3172099839255,107.03073426441142
