team_abbr,player_id,player_name,position,status_norm,designation,practice,injury_desc,status_raw,last_updated
PIT,16744,Christian Kuntz,LS,QUESTIONABLE,,,chest,QUESTIONABLE,2025-09-24T13:29:18.304Z
DAL,18588,CeeDee Lamb,WR,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
LAC,30431,Trey Lance,QB,QUESTIONABLE,,,hand,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,133841,JC Latham,T,QUESTIONABLE,,,hip,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,133866,Xavier Legette,WR,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,18680,Damien Lewis,G,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
BAL,39757,Isaiah Likely,TE,QUESTIONABLE,,,foot,QUESTIONABLE,2025-09-24T13:29:18.304Z
GB,133923,MarShawn Lloyd,RB,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
ATL,39082,Drake London,WR,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,31333,Isaiahh Loudermilk,DT,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
SEA,16516,Julian Love,FS,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
DET,166950,Dominic Lovett,WR,QUESTIONABLE,,,abdominal,QUESTIONABLE,2025-09-24T13:29:18.304Z
NE,56782,Vederian Lowe,T,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
CLE,6859,Cornelius Lucas,T,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
LAC,7981,Khalil Mack,OLB,OUT,,,elbow,OUT,2025-09-24T13:29:18.304Z
BAL,18564,Nnamdi Madubuike,DE,QUESTIONABLE,,,neck,QUESTIONABLE,2025-09-24T13:29:18.304Z
SEA,39114,Boye Mafe,LB,QUESTIONABLE,,,toe,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,6909,Sam Martin,P,OUT,,,undisclosed,OUT,2025-09-24T13:29:18.304Z
SF,166745,Nick Martin,LB,QUESTIONABLE,,,lower body,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,39807,Damarri Mathis,CB,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
TB,79786,Cody Mauch,G,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
MIN,133844,J.J. McCarthy,QB,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
TB,47895,Zyon McCollum,CB,QUESTIONABLE,,,neck,QUESTIONABLE,2025-09-24T13:29:18.304Z
